#datatype,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string
_start,_stop,_time,color
2022-12-08T14:58:09.612169601Z,2022-12-09T14:58:09.612169601Z,2022-12-08T14:58:40Z,#f2c037
2022-12-08T14:58:09.612169601Z,2022-12-09T14:58:09.612169601Z,2022-12-08T14:59:40Z,#f2c037
2022-12-08T14:58:09.612169601Z,2022-12-09T14:58:09.612169601Z,2022-12-08T15:00:40Z,#f2c037
2022-12-08T14:58:09.612169601Z,2022-12-09T14:58:09.612169601Z,2022-12-08T15:01:40Z,#f2c037
2022-12-08T14:58:09.612169601Z,2022-12-09T14:58:09.612169601Z,2022-12-08T15:02:40Z,#f2c037
2022-12-08T14:58:09.612169601Z,2022-12-09T14:58:09.612169601Z,2022-12-08T15:03:40Z,#f2c037
2022-12-08T14:58:09.612169601Z,2022-12-09T14:58:09.612169601Z,2022-12-08T15:04:40Z,#f2c037
2022-12-08T14:58:09.612169601Z,2022-12-09T14:58:09.612169601Z,2022-12-08T15:05:40Z,#f2c037
2022-12-08T14:58:09.612169601Z,2022-12-09T14:58:09.612169601Z,2022-12-08T15:06:40Z,#f2c037
2022-12-08T14:58:09.612169601Z,2022-12-09T14:58:09.612169601Z,2022-12-08T15:07:40Z,#f2c037
2022-12-08T14:58:09.612169601Z,2022-12-09T14:58:09.612169601Z,2022-12-08T15:08:40Z,#f2c037
2022-12-08T14:58:09.612169601Z,2022-12-09T14:58:09.612169601Z,2022-12-08T15:09:40Z,#f2c037
2022-12-08T14:58:09.612169601Z,2022-12-09T14:58:09.612169601Z,2022-12-08T15:10:40Z,#f2c037
2022-12-08T14:58:09.612169601Z,2022-12-09T14:58:09.612169601Z,2022-12-08T15:11:40Z,#f2c037
2022-12-08T14:58:09.612169601Z,2022-12-09T14:58:09.612169601Z,2022-12-08T15:12:40Z,#f2c037
2022-12-08T14:58:09.612169601Z,2022-12-09T14:58:09.612169601Z,2022-12-08T15:13:40Z,#f2c037
2022-12-08T14:58:09.612169601Z,2022-12-09T14:58:09.612169601Z,2022-12-08T15:14:40Z,#f2c037
2022-12-08T14:58:09.612169601Z,2022-12-09T14:58:09.612169601Z,2022-12-08T15:15:40Z,#f2c037
2022-12-08T14:58:09.612169601Z,2022-12-09T14:58:09.612169601Z,2022-12-08T15:16:40Z,#f2c037
2022-12-08T14:58:09.612169601Z,2022-12-09T14:58:09.612169601Z,2022-12-08T15:17:40Z,#f2c037
2022-12-08T14:58:09.612169601Z,2022-12-09T14:58:09.612169601Z,2022-12-08T15:18:40Z,#f2c037
2022-12-08T14:58:09.612169601Z,2022-12-09T14:58:09.612169601Z,2022-12-08T15:19:40Z,#f2c037
2022-12-08T14:58:09.612169601Z,2022-12-09T14:58:09.612169601Z,2022-12-08T15:20:40Z,#f2c037
2022-12-08T14:58:09.612169601Z,2022-12-09T14:58:09.612169601Z,2022-12-08T15:21:40Z,#f2c037
2022-12-08T14:58:09.612169601Z,2022-12-09T14:58:09.612169601Z,2022-12-08T15:22:40Z,#f2c037
2022-12-08T14:58:09.612169601Z,2022-12-09T14:58:09.612169601Z,2022-12-08T15:23:40Z,#21ba45
2022-12-08T14:58:09.612169601Z,2022-12-09T14:58:09.612169601Z,2022-12-08T15:24:40Z,#f2c037
2022-12-08T14:58:09.612169601Z,2022-12-09T14:58:09.612169601Z,2022-12-08T15:25:40Z,#21ba45
2022-12-08T14:58:09.612169601Z,2022-12-09T14:58:09.612169601Z,2022-12-08T15:26:40Z,#21ba45
2022-12-08T14:58:09.612169601Z,2022-12-09T14:58:09.612169601Z,2022-12-08T15:27:40Z,#c10015
2022-12-08T14:58:09.612169601Z,2022-12-09T14:58:09.612169601Z,2022-12-08T15:28:40Z,#ff9800
2022-12-08T14:58:09.612169601Z,2022-12-09T14:58:09.612169601Z,2022-12-08T15:29:40Z,#21ba45
2022-12-08T14:58:09.612169601Z,2022-12-09T14:58:09.612169601Z,2022-12-08T15:30:40Z,#21ba45
2022-12-08T14:58:09.612169601Z,2022-12-09T14:58:09.612169601Z,2022-12-08T15:31:40Z,#21ba45
2022-12-08T14:58:09.612169601Z,2022-12-09T14:58:09.612169601Z,2022-12-08T15:32:40Z,#21ba45
2022-12-08T14:58:09.612169601Z,2022-12-09T14:58:09.612169601Z,2022-12-08T15:33:40Z,#21ba45
2022-12-08T14:58:09.612169601Z,2022-12-09T14:58:09.612169601Z,2022-12-08T15:34:40Z,#21ba45
2022-12-08T14:58:09.612169601Z,2022-12-09T14:58:09.612169601Z,2022-12-08T15:35:40Z,#21ba45
2022-12-08T14:58:09.612169601Z,2022-12-09T14:58:09.612169601Z,2022-12-08T15:36:40Z,#21ba45
2022-12-08T14:58:09.612169601Z,2022-12-09T14:58:09.612169601Z,2022-12-08T15:37:40Z,#21ba45
2022-12-08T14:58:09.612169601Z,2022-12-09T14:58:09.612169601Z,2022-12-08T15:38:40Z,#21ba45
2022-12-08T14:58:09.612169601Z,2022-12-09T14:58:09.612169601Z,2022-12-08T15:39:40Z,#21ba45
2022-12-08T14:58:09.612169601Z,2022-12-09T14:58:09.612169601Z,2022-12-08T15:40:40Z,#21ba45
2022-12-08T14:58:09.612169601Z,2022-12-09T14:58:09.612169601Z,2022-12-08T15:41:40Z,#21ba45
2022-12-08T14:58:09.612169601Z,2022-12-09T14:58:09.612169601Z,2022-12-08T15:42:40Z,#21ba45
